,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge
1,dricus du plessis,0.18650172925462388,1.807127882599581,0.11935649521049607,0.11124699549504397,1.4444444444444444,2025-02-08,1.0,1,0.7693248430350305,0.44370074083674754,0.24552472113292456,0.06959723700138348
8,ketlen souza,0.21774153240788308,-1.0,0.06664528035183152,0.07406056100052127,1.8928571428571428,2025-02-15,1.0,0,0.5674282209059358,0.4918091366523954,0.11710932468186952,0.03626332859187831
1,youssef zalal,0.21774153240788308,-1.0,0.15109625205605157,0.04008038768432837,1.2,2025-02-15,0.0,0,0.866733656403607,0.4918091366523954,0.11710932468186952,0.03626332859187831
3,ion cutelaba,0.2118001809642315,2.1688888888888886,0.05743377031897434,0.25213748010925185,2.48,2025-02-22,1.0,1,0.5048941452053435,0.42004596038896924,0.3310789766992668,0.07550410485142348
4,anthony hernandez,0.2118001809642315,2.1688888888888886,0.15436641064525716,0.06304539065720424,1.2777777777777777,2025-02-22,0.0,0,0.8319485666012904,0.42004596038896924,0.3310789766992668,0.07550410485142348
2,cody brundage,0.19753738207589738,1.454545454545455,0.07821212110948983,0.1350912315694056,1.8,2025-03-01,1.0,1,0.6306062397607809,0.4907379331257273,0.2045385631267853,0.05995880019199634
5,danny silva,0.19753738207589738,1.454545454545455,0.11932526096640757,0.06118215842559188,1.3636363636363638,2025-03-01,1.0,1,0.7782002495121007,0.4907379331257273,0.2045385631267853,0.05995880019199634
5,iasmin lucindo,0.14901058061750805,-1.0,0.08736632793930485,0.19391667478073826,1.704225352112676,2025-03-08,1.0,0,0.700562676937458,0.3563204814793732,0.3359508756311147,0.08393039037273878
7,rei tsuruya,0.14901058061750805,-1.0,0.061644252678203185,0.11896491928673414,2.2,2025-03-08,1.0,0,0.5086204178576064,0.3563204814793732,0.3359508756311147,0.08393039037273878
5,josiane nunes,0.19128796110172608,-1.0,0.09474843614901336,0.11201659131630803,1.5714285714285714,2025-03-15,0.0,1,0.7076469217467415,0.5139872121920562,0.16666938640419104,0.05265422629008948
0,alexander hernandez,0.19128796110172608,-1.0,0.09653952495271272,0.04914746372910661,1.4444444444444444,2025-03-15,1.0,1,0.7263328595047661,0.5139872121920562,0.16666938640419104,0.05265422629008948
8,shauna bannon,0.18783663552401056,-1.0,0.10703516094717132,0.11503629780557995,1.4587155963302751,2025-03-22,1.0,1,0.7643959525836995,0.5071998502082073,0.19656424056934552,0.062035508652413585
5,nathan fletcher,0.18783663552401056,-1.0,0.08080147457683924,0.07311685092603215,1.617283950617284,2025-03-22,0.0,1,0.6635302666031191,0.5071998502082073,0.19656424056934552,0.062035508652413585
2,manuel torres,0.20505833928717054,1.4056447149972326,0.08012972671176281,0.14802286613300286,1.7692307692307692,2025-03-29,1.0,1,0.6488824895534364,0.5209851238564559,0.2533051097974619,0.07555565714563939
3,edgar chairez,0.20505833928717054,1.4056447149972326,0.12492861257540773,0.09170744483434501,1.359712230215827,2025-03-29,1.0,1,0.8028959514919258,0.5209851238564559,0.2533051097974619,0.07555565714563939
5,lerone murphy,0.15316518341862548,0.0,0.11905599965092807,0.0198743170458556,1.2816901408450705,2025-04-05,0.0,0,0.7957261154973159,0.41404355174601065,-0.007867472148108123,0.0004784323202480789
1,talita alencar,0.15316518341862548,0.0,0.03410918376769741,-0.027201184234465214,1.869565217391304,2025-04-05,0.0,0,0.5203342502931931,0.41404355174601065,-0.007867472148108123,0.0004784323202480789
6,nikita krylov,0.17133963705183397,-1.0,0.0960527977193327,0.09505970890954984,1.5319148936170213,2025-04-12,0.0,1,0.7148306433159561,0.4340648517694463,0.13322534870105374,0.041251772116166874
0,virna jandiroba,0.17133963705183397,-1.0,0.07528683933250127,0.03485256509849022,1.704225352112676,2025-04-12,0.0,0,0.6072275381982877,0.4340648517694463,0.13322534870105374,0.041251772116166874
8,randy brown,0.2107736578196806,0.8913458913458912,0.11672507915078717,0.019828840306212375,1.3003003003003002,2025-04-26,1.0,1,0.784302549242422,0.5462459629932089,0.03314005777148532,0.012111479412879322
0,david onama,0.2107736578196806,0.8913458913458912,0.09404857866889342,0.013052403441813243,1.4545454545454546,2025-04-26,0.0,0,0.6964735273662466,0.5462459629932089,0.03314005777148532,0.012111479412879322
10,yana santos,0.16738463432311312,2.0000000000000004,0.05660373359045941,0.10729731439489865,2.2,2025-05-03,1.0,1,0.5033169610885903,0.3946464403929667,0.18393932117890022,0.04976472673136603
5,montel jackson,0.16738463432311312,2.0000000000000004,0.11078090073265372,0.06921538216308593,1.3636363636363638,2025-05-03,1.0,1,0.7840912802529296,0.3946464403929667,0.18393932117890022,0.04976472673136603
7,bekzat almakhan,0.16439321024477327,1.5354951796669587,0.08073477635172421,0.02450185346098155,1.6134969325153374,2025-05-10,0.0,0,0.6349574224872243,0.4102915191960147,0.040292169179728665,0.012496813140627283
10,marc andre barriault,0.16439321024477327,1.5354951796669587,0.08365843389304906,0.01541267657584433,1.5714285714285714,2025-05-10,1.0,1,0.6461717032755373,0.4102915191960147,0.040292169179728665,0.012496813140627283
1,luana santos,0.17159861519197264,1.4492292011721237,0.08854645190416217,0.052769154229086124,1.5319148936170213,2025-05-17,1.0,1,0.6872243090106535,0.44647903975782033,0.09352950188614306,0.02933147554214277
6,melquizael costa,0.17159861519197264,1.4492292011721237,0.08305216328781047,0.03871727006183495,1.598802395209581,2025-05-17,0.0,0,0.6496845846454173,0.44647903975782033,0.09352950188614306,0.02933147554214277
4,rayanne dos santos,0.1820826154087985,-1.0,0.09956176825809049,0.06595332476700638,1.4444444444444444,2025-05-31,0.0,1,0.7379676863771583,0.4748164588046258,0.10151023608211163,0.03321469607251015
0,mateusz gamrot,0.1820826154087985,-1.0,0.08252084715070802,0.033356912060738875,1.606060606060606,2025-05-31,1.0,1,0.6434109075095167,0.4748164588046258,0.10151023608211163,0.03321469607251015
7,merab dvalishvili,0.2438126313705397,-1.0,0.15748870710614243,0.18327519548497123,1.3636363636363638,2025-06-07,1.0,1,0.8677351433556455,0.5915503167963332,0.2548037022952525,0.08663113210302414
0,serghei spivac,0.2438126313705397,-1.0,0.08632392426439729,0.060449595396922684,1.5555555555555556,2025-06-07,0.0,1,0.6817175970408789,0.5915503167963332,0.2548037022952525,0.08663113210302414
0,michael chiesa,0.21017874656404764,1.020408163265306,0.12651837686167813,0.056164763351007174,1.2857142857142856,2025-06-14,1.0,1,0.821461482606339,0.5426613765816364,0.0963974751343264,0.03396242093711738
2,edmen shahbazyan,0.21017874656404764,1.020408163265306,0.08366036970236951,0.03809321535748711,1.5714285714285714,2025-06-14,1.0,1,0.66060477340931,0.5426613765816364,0.0963974751343264,0.03396242093711738
6,hamdy abdelwahab,0.16120771440909987,-1.0,0.0848660224969611,0.031283121161363,1.5555555555555556,2025-06-21,0.0,1,0.6629677207465905,0.40519842347871815,0.05051443124112098,0.015649672199469944
1,ignacio bahamondes,0.16120771440909987,-1.0,0.07634169191213877,0.018647944182486886,1.6666666666666663,2025-06-21,1.0,0,0.6111887665094923,0.40519842347871815,0.05051443124112098,0.015649672199469944
7,terrance mckinney,0.19368220297938932,1.1212121212121215,0.08833815129483678,0.10043364856672243,1.5555555555555556,2025-06-28,1.0,1,0.7074216312214644,0.5276883211886338,0.11933886312740527,0.038581499039200384
8,alexandre pantoja,0.19368220297938932,1.1212121212121215,0.10534405168455252,0.01717978597374431,1.3636363636363638,2025-06-28,1.0,1,0.7459318430474124,0.5276883211886338,0.11933886312740527,0.038581499039200384
10,tallison teixeira,0.1772361232950696,-1.0,0.11166855580953716,0.0768882759702183,1.3636363636363638,2025-07-12,1.0,0,0.7897180690448267,0.4372784157948971,0.1484079606734674,0.04543427759339025
7,jake matthews,0.1772361232950696,-1.0,0.06556756748553243,0.0664132819524047,1.925925925925926,2025-07-12,1.0,1,0.5537145887060563,0.4372784157948971,0.1484079606734674,0.04543427759339025
0,dustin poirier,0.06574633842497193,0.0,0.06574633842497193,0.0408582996377137,1.9090909090909087,2025-07-19,1.0,0,0.5452114902864216,0.3760472885590921,-0.021033918213933966,-0.011101997263478991
1,brendan allen,0.06574633842497193,0.0,0.0,-0.059462674096166734,1.3636363636363638,2025-07-19,0.0,0,0.6897273723294777,0.3760472885590921,-0.021033918213933966,-0.011101997263478991
3,reinier de ridder,0.13587178461050559,2.619354838709677,0.05640194279915693,0.12608127358328536,2.2,2025-07-26,0.0,0,0.5118551243560387,0.33442300913019357,0.21039553627121643,0.051410672849601685
8,bryce mitchell,0.13587178461050559,2.619354838709677,0.07946984181134865,0.0748740474296638,1.6451612903225803,2025-07-26,1.0,1,0.6533548131435213,0.33442300913019357,0.21039553627121643,0.051410672849601685
3,neil magny,0.14241232809152546,-1.0,0.06749236424466634,0.2102549791271079,2.15,2025-08-02,1.0,1,0.5629092926172595,0.29910670733906075,0.28615884155796123,0.06457581893108968
6,nick klein,0.14241232809152546,-1.0,0.07491996384685912,0.06271724862937456,2.0,2025-08-02,0.0,1,0.5313586243146873,0.29910670733906075,0.28615884155796123,0.06457581893108968
8,joselyne edwards,0.31765988286924535,0.3851851851851853,0.14554626942817322,0.05173272626262687,1.2222222222222223,2025-08-09,1.0,1,0.8605085942148765,0.7665477351567718,0.06181056647641725,0.02539079852268661
