,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge,fstar_net,choice_decimal_odds
3,iasmin lucindo,0.28370003638495817,2.055555555555555,0.15318680624600614,0.32767754590918907,1.8333333333333333,2024-10-05,0.0,0,0.7241877523141032,0.5181254790226083,0.583161185902414,0.14709529834830376,0.15318680624600614,1.8333333333333333
2,joaquin buckley,0.28370003638495817,2.055555555555555,0.1292038249977357,0.19242898306174971,1.6666666666666663,2024-10-05,0.0,0,0.71545738983705,0.5181254790226083,0.583161185902414,0.14709529834830376,0.1292038249977357,1.6666666666666663
7,tatsuro taira,0.3468305974970326,-1.0,0.17333434664065178,0.18706235001854427,1.5128205128205128,2024-10-12,1.0,0,0.7846683330631056,0.6634516976933863,0.3686590966402026,0.117918342657441,-0.17333434664065178,1.5128205128205128
6,themba gorimbo,0.3468305974970326,-1.0,0.18788447018091342,0.15297995646043477,1.3636363636363638,2024-10-12,1.0,1,0.8455186347376521,0.6634516976933863,0.3686590966402026,0.117918342657441,0.18788447018091342,1.3636363636363638
2,darren elkins,0.20089893139915171,2.55764705882353,0.09176769195594184,0.3209059413055355,2.24,2024-10-19,1.0,1,0.5896901523685426,0.4255139804437023,0.5138285610138305,0.11761052066714689,0.09176769195594184,2.24
7,anthony hernandez,0.20089893139915171,2.55764705882353,0.14684782289375234,0.146053260626277,1.5882352941176472,2024-10-19,1.0,1,0.7215890900239521,0.4255139804437023,0.5138285610138305,0.11761052066714689,0.14684782289375234,1.5882352941176472
7,ismail naurdiev,0.2640875456539865,2.55764705882353,0.12205371465048703,0.3705626019996009,2.24,2024-10-26,1.0,1,0.6118583044641075,0.47094124479225086,0.6754427344138432,0.1527450733004962,0.12205371465048703,2.24
2,lerone murphy,0.2640875456539865,2.55764705882353,0.1640348629112536,0.2224488921333717,1.5882352941176472,2024-10-26,1.0,1,0.7696900431950858,0.47094124479225086,0.6754427344138432,0.1527450733004962,0.1640348629112536,1.5882352941176472
8,charles jourdain,0.08175850412108839,3.0999999999999996,0.09383346961279534,0.19976026252149093,2.0,2024-11-02,1.0,1,0.5998801312607455,0.3057198445793595,0.25345136277537383,0.0608550714985476,0.09383346961279534,2.0
0,alexandr romanov,0.08175850412108839,3.0999999999999996,0.08217984712865929,0.04475152405951699,2.05,2024-11-02,1.0,1,0.5096348897851303,0.3057198445793595,0.25345136277537383,0.0608550714985476,0.08217984712865929,2.05
3,matthew semelsberger,0.16377362444971688,-1.0,0.07331637020205968,0.27660598553338034,2.55,2024-11-09,0.0,1,0.5006297982483845,0.4286417072032003,0.35328310417010345,0.0784927847361731,-0.07331637020205968,2.55
1,denise gomes,0.16377362444971688,-1.0,0.18850825994519277,0.060063261104550236,1.238095238095238,2024-11-09,0.0,0,0.8562049416613676,0.4286417072032003,0.35328310417010345,0.0784927847361731,0.18850825994519277,1.238095238095238
9,mickey gall,0.07224195726906908,-1.0,0.08947090432173468,0.1332734230341841,2.2,2024-11-16,0.0,1,0.5151242831973564,0.2605045471089495,0.2837664081529032,0.05993114375815364,-0.08947090432173468,2.2
3,jonathan martinez,0.07224195726906908,-1.0,0.08247606802840092,0.13279494785626822,2.24,2024-11-16,0.0,1,0.5057120302929768,0.2605045471089495,0.2837664081529032,0.05993114375815364,-0.08247606802840092,2.24
2,carlos ulberg,0.0,0.0,0.007551920101611429,-0.026430955648552912,1.3773584905660377,2024-11-23,0.0,0,0.7068377993236534,0.47829822142824613,-0.08783183895977453,-0.03236929177327552,0.0,1.3773584905660377
1,petr yan,0.0,0.0,0.0,-0.06306782622913454,1.3846153846153846,2024-11-23,1.0,1,0.6766732366122917,0.47829822142824613,-0.08783183895977453,-0.03236929177327552,0.0,1.3846153846153846
12,chris weidman,0.12456698869072112,-1.0,0.1058366088045777,0.21354858272341803,2.0,2024-12-07,0.0,1,0.606774291361709,0.3235290367155572,0.42352776154845184,0.092711933597425,-0.1058366088045777,2.0
