,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
3,iasmin lucindo,0.015115384380865161,0.0922165451399019,1.5128205128205128,-1,0,0.721973648482308,0.3698230501695211,0.3147683565642079,2024-10-05,0.0,-0.015115384380865161,1.5128205128205128,top_ev
1,jonathan pearce,0.019265083952782366,0.08858079364252958,1.5319148936170213,-1,1,0.7106013514055401,0.4250752707003699,0.17212244856953052,2024-10-12,0.0,-0.019265083952782366,1.5319148936170213,top_ev
6,julia polastri,0.019265083952782366,0.0767436421944025,1.8,-1,1,0.5981909123302236,0.4250752707003699,0.17212244856953052,2024-10-12,1.0,-0.019265083952782366,1.8,top_ev
4,anthony hernandez,0.019359530625311032,0.11674886464561118,1.617283950617284,1.5686274509803924,1,0.6905088399717138,0.4752820563146416,0.22082253680819708,2024-10-19,1.0,0.019359530625311032,1.617283950617284,top_ev
5,darren elkins,0.019359530625311032,0.09319344344765707,1.5882352941176472,1.5686274509803924,1,0.6883069829114877,0.4752820563146416,0.22082253680819708,2024-10-19,1.0,0.019359530625311032,1.5882352941176472,top_ev
4,abus magomedov,0.02116602903983127,0.05853899633264531,1.606060606060606,1.248484848484848,1,0.6590903184712698,0.492680892826845,0.1077855226591482,2024-10-26,1.0,0.02116602903983127,1.606060606060606,top_ev
2,khamzat chimaev,0.02116602903983127,0.04652311015193561,1.4,1.248484848484848,0,0.7475165072513826,0.492680892826845,0.1077855226591482,2024-10-26,0.0,0.02116602903983127,1.4,top_ev
1,brandon moreno,0.01821272006893121,0.03175149747070627,1.5555555555555556,1.4197530864197532,1,0.6632688198025969,0.4394827244779285,0.06343967898362957,2024-11-02,1.0,0.01821272006893121,1.5555555555555556,top_ev
7,charles jourdain,0.01821272006893121,0.03071299783969822,1.5555555555555556,1.4197530864197532,1,0.6626012128969488,0.4394827244779285,0.06343967898362957,2024-11-02,1.0,0.01821272006893121,1.5555555555555556,top_ev
0,tresean gore,0.0,0.0022516276074581176,1.5376344086021505,0.0,1,0.6518139955768784,0.47402462431438824,-0.024046622766603964,2024-11-09,1.0,0.0,1.5376344086021505,top_ev
1,damon blackshear,0.0,-0.026239169535539175,1.3389830508474576,0.0,0,0.7272391012329518,0.47402462431438824,-0.024046622766603964,2024-11-09,0.0,0.0,1.3389830508474576,top_ev
2,charles radtke,0.0,-0.1887700025848686,1.5376344086021505,0.0,0,0.5275831451720785,0.47402462431438824,-0.024046622766603964,2024-11-09,0.0,0.0,1.5376344086021505,top_ev
3,carlos prates,0.0,-0.1294675267219525,1.1219512195121952,0.0,0,0.7759093783565205,0.47402462431438824,-0.024046622766603964,2024-11-09,0.0,0.0,1.1219512195121952,top_ev
4,denise gomes,0.0,-0.04069759090887136,1.1428571428571428,0.0,0,0.8393896079547376,0.47402462431438824,-0.024046622766603964,2024-11-09,0.0,0.0,1.1428571428571428,top_ev
5,gillian robertson,0.0,-0.08097348071246865,1.181818181818182,0.0,0,0.7776378240125263,0.47402462431438824,-0.024046622766603964,2024-11-09,0.0,0.0,1.181818181818182,top_ev
0,charles oliveira,0.0184355429253377,0.04725116583980998,1.3636363636363638,1.519260400616333,1,0.7679841882825272,0.4322333552725627,0.08890837576369814,2024-11-16,1.0,0.0184355429253377,1.3636363636363638,top_ev
6,marcin tybura,0.0184355429253377,0.03977766870326899,1.847457627118644,1.519260400616333,1,0.5628154353531456,0.4322333552725627,0.08890837576369814,2024-11-16,1.0,0.0184355429253377,1.847457627118644,top_ev
0,petr yan,0.0,-0.07109994158874647,1.2985074626865671,0.0,1,0.7153598150983217,0.5139946427299529,-0.11374596346513877,2024-11-23,1.0,0.0,1.2985074626865671,top_ev
1,carlos ulberg,0.0,-0.04591023704889424,1.3278688524590163,0.0,0,0.7185120437039192,0.5139946427299529,-0.11374596346513877,2024-11-23,0.0,0.0,1.3278688524590163,top_ev
2,wang cong,0.0,-0.10443934542224018,1.1,0.0,1,0.8141460496161452,0.5139946427299529,-0.11374596346513877,2024-11-23,0.0,0.0,1.1,top_ev
12,chris weidman,0.019095235784561307,0.12436253098895289,1.869565217391304,-1,1,0.6014032142499052,0.4609304015790116,0.20643522500245615,2024-12-07,0.0,-0.019095235784561307,1.869565217391304,top_ev
9,movsar evloev,0.019095235784561307,0.07299486753735451,1.4,-1,1,0.7664249053838247,0.4609304015790116,0.20643522500245615,2024-12-07,1.0,-0.019095235784561307,1.4,top_ev
1,vitor petrino,0.025430135382744547,0.07535461387465542,1.2857142857142856,-1,1,0.8363869219025099,0.5197939356673814,0.0709007590255688,2024-12-14,0.0,-0.025430135382744547,1.2857142857142856,top_ev
6,sean woodson,0.025430135382744547,-0.004141754535314512,1.6024096385542168,-1,1,0.6214754464178113,0.5197939356673814,0.0709007590255688,2024-12-14,1.0,-0.025430135382744547,1.6024096385542168,top_ev
0,roman kopylov,0.0,-0.031178619478698877,1.3703703703703702,0.0,0,0.7069777641641928,0.44596307790710354,-0.018781738793349878,2025-01-11,0.0,0.0,1.3703703703703702,top_ev
1,uros medic,0.0,-0.1344184063946972,1.4166666666666667,0.0,0,0.6109987719566843,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.4166666666666667,top_ev
2,fatima kline,0.0,-0.1004808483862086,1.1,0.0,1,0.8177446832852648,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.1,top_ev
3,thiago moises,0.0,-0.07559340244952256,1.5714285714285714,0.0,1,0.5882587438957584,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.5714285714285714,top_ev
4,jose johnson,0.0,-0.03627611528956087,1.5555555555555556,0.0,1,0.6195367830281394,0.44596307790710354,-0.018781738793349878,2025-01-11,0.0,0.0,1.5555555555555556,top_ev
5,amanda ribas,0.0,-0.05050002133926035,1.5,0.0,0,0.6329999857738264,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.5,top_ev
6,santiago ponzinibbio,0.0,-0.016992187120159152,1.6134969325153374,0.0,1,0.6092405836479622,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.6134969325153374,top_ev
7,nurullo aliev,0.0,-0.07192240310543312,1.08,0.0,1,0.85933110823571,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.08,top_ev
8,cesar almeida,0.0,-0.001820485706973185,1.3636363636363638,0.0,1,0.731998310481553,0.44596307790710354,-0.018781738793349878,2025-01-11,1.0,0.0,1.3636363636363638,top_ev
8,grant dawson,0.03393474229869445,0.0911283076783343,1.3448275862068966,0.6810344827586208,1,0.8113518185300435,0.6574501077074553,0.1051963017496016,2025-01-18,1.0,0.03393474229869445,1.3448275862068966,top_ev
6,tagir ulanbekov,0.03393474229869445,0.01289307038619561,1.25,0.6810344827586208,1,0.8103144563089565,0.6574501077074553,0.1051963017496016,2025-01-18,1.0,0.03393474229869445,1.25,top_ev
8,jasmine jasudavicius,0.007864055846959006,0.018615942450841416,1.3636363636363638,1.2727272727272725,1,0.7469850244639503,0.44870609501037056,0.019786579569023965,2025-02-01,1.0,0.007864055846959006,1.3636363636363638,top_ev
5,hamdy abdelwahab,0.007864055846959006,0.0011492428788870135,1.6666666666666663,1.2727272727272725,1,0.6006895457273324,0.44870609501037056,0.019786579569023965,2025-02-01,1.0,0.007864055846959006,1.6666666666666663,top_ev
0,dricus du plessis,0.023283793292441356,0.0882910161485338,1.4444444444444444,1.0340136054421767,1,0.753432241948985,0.5370895195068595,0.09244739001735347,2025-02-08,1.0,0.023283793292441356,1.4444444444444444,top_ev
2,gabriel santos,0.023283793292441356,0.003819175025012278,1.4081632653061225,1.0340136054421767,0,0.7128570953076174,0.5370895195068595,0.09244739001735347,2025-02-08,0.0,0.023283793292441356,1.4081632653061225,top_ev
3,youssef zalal,0.014349928078533495,0.014732843047663341,1.2,-1,0,0.8456107025397195,0.6316493084981911,0.014921261790313833,2025-02-15,0.0,-0.014349928078533495,1.2,top_ev
0,rodolfo vieira,0.014349928078533495,0.0001856831026426642,1.3389830508474576,-1,1,0.7469741177602015,0.6316493084981911,0.014921261790313833,2025-02-15,0.0,-0.014349928078533495,1.3389830508474576,top_ev
4,anthony hernandez,0.021720834636202207,0.0525219156125101,1.2777777777777777,1.1776212832550859,0,0.823712803522834,0.4792623486207078,0.043651890619271994,2025-02-22,0.0,0.021720834636202207,1.2777777777777777,top_ev
