,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
5,ismail naurdiev,0.08907336244037808,0.1259864491364336,1.6756756756756757,1.2850122850122854,1,0.6719596551298072,0.546960628298206,0.24981175507943898,2024-10-26,1.0,top_ev,0.08907336244037808,1.6756756756756757
1,lerone murphy,0.08907336244037808,0.10997051166821076,1.3636363636363638,1.2850122850122854,1,0.8139783752233545,0.546960628298206,0.24981175507943898,2024-10-26,1.0,top_ev,0.08907336244037808,1.3636363636363638
7,charles jourdain,0.07282922748797029,0.15467062487400368,1.7246376811594204,1.7698726394378568,1,0.6695149001370273,0.4452305990539749,0.23323205456013163,2024-11-02,1.0,top_ev,0.07282922748797029,1.7246376811594204
1,brandon moreno,0.07282922748797029,0.06803795644727728,1.606060606060606,1.7698726394378568,1,0.6650047653350972,0.4452305990539749,0.23323205456013163,2024-11-02,1.0,top_ev,0.07282922748797029,1.606060606060606
0,tresean gore,0.01517362669785121,0.04206105580786851,1.5882352941176472,1.223529411764706,1,0.656112516619769,0.47323840051423943,0.052259502319897067,2024-11-09,1.0,top_ev,0.01517362669785121,1.5882352941176472
1,damon blackshear,0.01517362669785121,0.009786803234981434,1.4,1.223529411764706,0,0.7212762880249868,0.47323840051423943,0.052259502319897067,2024-11-09,0.0,top_ev,0.01517362669785121,1.4
3,jonathan martinez,0.06037173737931827,0.13966205854734037,2.1,-1.0,1,0.5426962183558763,0.30342203896021747,0.2743725636329135,2024-11-16,0.0,top_ev,-0.06037173737931827,2.1
6,marcin tybura,0.06037173737931827,0.11820214955412367,2.0,-1.0,1,0.5591010747770618,0.30342203896021747,0.2743725636329135,2024-11-16,1.0,top_ev,-0.06037173737931827,2.0
0,petr yan,0.0,-0.03604784446395837,1.3703703703703702,0.0,1,0.7034245459317061,0.505655896259721,-0.04557891279000281,2024-11-23,1.0,top_ev,0.0,1.3703703703703702
1,carlos ulberg,0.0,-0.009887491066135123,1.3773584905660377,0.0,0,0.7188488078560937,0.505655896259721,-0.04557891279000281,2024-11-23,0.0,top_ev,0.0,1.3773584905660377
