event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
61,2025-10-11,60,747.3209705700506,991.6912769359136,1290.6816657415807,1312.2543023819126,1043.2139084404766,0.0
62,2025-10-18,60,702.5318465957217,932.3538480068758,1213.1605653643628,1234.2545988375784,980.6966499055229,0.0
63,2025-10-25,60,658.0405747162382,880.7712885297605,1336.4449629029966,1369.6170433090906,948.7565720449027,0.0
64,2025-11-01,60,658.0405747162382,880.7712885297605,1336.4449629029966,1369.6170433090906,948.7565720449027,0.0
65,2025-11-08,60,776.7238975918673,1039.5292739049364,1576.7836647158329,1617.134193928176,1119.9255178654307,0.0
66,2025-11-15,60,869.3138866062931,1176.360931824663,1771.4613269852791,1826.0443886624787,1262.3024671510302,0.0
67,2025-11-22,60,869.3138866062931,1176.360931824663,1771.4613269852791,1826.0443886624787,1262.3024671510302,0.0
68,2025-12-06,60,869.3138866062931,1176.360931824663,1771.4613269852791,1826.0443886624787,1262.3024671510302,0.0
69,2025-12-13,60,783.6740454811238,1060.3495883849782,1597.3124289525933,1645.5150066696258,1137.7948243515705,0.0
70,2026-01-24,60,700.2752458301256,949.4016779571331,1447.3726046827587,1481.126731785945,1028.7311746468329,0.0
71,2026-01-31,60,740.5057353485845,1004.6010586554244,1532.2745080960192,1567.0600205439541,1088.457736970501,0.0
72,2026-02-07,60,740.5057353485845,1004.6010586554244,1532.2745080960192,1567.0600205439541,1088.457736970501,0.0
73,2026-02-21,60,740.5057353485845,1004.6010586554244,1532.2745080960192,1567.0600205439541,1088.457736970501,0.0
0,start,70,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,70,556.1269942911474,557.4433761632806,559.5949628665863,559.9993793507584,557.5848364289508,0.0
2,2024-05-18,70,556.1269942911474,557.4433761632806,559.5949628665863,559.9993793507584,557.5848364289508,0.0
3,2024-06-01,70,556.1269942911474,557.4433761632806,559.5949628665863,559.9993793507584,557.5848364289508,0.0
4,2024-06-08,70,556.1269942911474,557.4433761632806,559.5949628665863,559.9993793507584,557.5848364289508,0.0
5,2024-06-15,70,628.4331319563869,630.1705207203275,632.5924394788933,633.0950894381953,630.3068737488627,0.0
6,2024-06-22,70,654.424121201809,661.3767413164401,664.040063004135,664.6432789661068,660.6133327459162,0.0
