strategy,scenario_pct,date,realized_return,stake
always_open,60,2025-08-16,-0.17942199085188004,0.6256855217040005
always_open,60,2025-08-23,0.058286750216522853,0.6598226918393342
always_open,60,2025-09-06,-0.046156525509701785,0.5430077018457781
always_open,60,2025-09-13,0.26105512682537546,0.9336077574119688
always_open,60,2025-09-27,0.15204115596410522,0.9676526113646162
always_open,60,2025-10-04,0.2710936158623022,0.9999999999999999
always_open,60,2025-10-11,-0.016422448437664175,1.0
always_open,60,2025-10-18,-0.3598610665954599,0.664837518430403
always_open,60,2025-10-25,-0.1724665283851365,1.0
always_open,60,2025-11-01,0.30926768111693603,1.0
always_open,60,2025-11-08,0.016257167802532557,1.0
always_open,60,2025-11-15,0.40090474147491006,0.9369953444759943
always_open,60,2025-11-22,0.170179613524506,0.9999999999999999
always_open,60,2025-12-06,-0.1738299539958867,1.0
always_open,60,2025-12-13,0.01623501006294839,0.35969403027400343
always_open,60,2026-01-24,-0.05886334632476274,0.7082357982038054
always_open,60,2026-01-31,0.3284631654111968,0.8551401032119953
always_open,60,2026-02-07,-0.31715613376842194,1.0
always_open,60,2026-02-21,0.07781360014028993,1.0
always_open,70,2024-11-23,0.0,0.0
always_open,70,2024-12-07,-0.016423735776841364,1.0
always_open,70,2024-12-14,-0.20375750101828438,0.9025590830501744
always_open,70,2025-01-11,-0.018834436067584864,0.3590133783366619
always_open,70,2025-01-18,0.30428943965741917,0.8329970425648544
always_open,70,2025-02-01,0.4953348178971064,1.0
always_open,70,2025-02-08,0.3706395167582068,0.5519421431661897
always_open,70,2025-02-15,-0.232779321741947,0.9999999999999999
always_open,70,2025-02-22,0.25781453322292897,0.5951735451541924
always_open,70,2025-03-01,0.2751764832859246,0.47097717951510587
always_open,70,2025-03-08,-0.03962036540732452,0.5411227743697954
always_open,70,2025-03-15,0.054446692486500775,0.9365137512864442
always_open,70,2025-03-22,-0.06402360288517796,0.4094420522630412
always_open,70,2025-03-29,0.38015753877288827,1.0
always_open,70,2025-04-05,0.09698721560800394,0.3256197251402964
always_open,70,2025-04-12,-0.3505925256487618,1.0
always_open,70,2025-04-26,0.321493284077814,0.681334803415498
always_open,70,2025-05-03,0.4744752803934677,0.8541867998534433
always_open,70,2025-05-10,0.38643739794860954,0.9393736248900083
always_open,70,2025-05-17,0.2891867942274022,0.6009129627130295
always_open,70,2025-05-31,-0.10328176011666468,0.5112415373343869
always_open,70,2025-06-07,0.020045417609756644,0.8464630104135545
always_open,70,2025-06-14,0.14461704753724097,0.9128871682078938
always_open,70,2025-06-21,-0.3191770190157241,0.7923469472350797
always_open,70,2025-06-28,0.26122475027009706,1.0
always_open,70,2025-07-12,0.1613957617003417,0.9770947138927258
always_open,70,2025-07-19,-0.09518231635848777,0.09518231635848777
always_open,70,2025-07-26,-0.06801580753617609,0.6269750766853918
always_open,70,2025-08-02,0.48166874308879326,0.9999999999999999
always_open,70,2025-08-09,0.09693598742026663,0.8348368450988481
always_open,70,2025-08-16,-0.18164762331837986,0.631089132759511
always_open,70,2025-08-23,0.05076005267640593,0.6708975653098148
always_open,70,2025-09-06,-0.04926322768672495,0.5386606395522531
always_open,70,2025-09-13,0.2554653629649794,0.9397954553251551
always_open,70,2025-09-27,0.13312010155002355,0.969133317795736
always_open,70,2025-10-04,0.26112296916046496,1.0
always_open,70,2025-10-11,-0.022997857011753803,1.0
always_open,70,2025-10-18,-0.35769916762194703,0.6640054642440107
always_open,70,2025-10-25,-0.18225148891488543,1.0
always_open,70,2025-11-01,0.3040629536133169,1.0000000000000002
always_open,70,2025-11-08,0.026035083763123343,1.0
always_open,70,2025-11-15,0.3776373453026146,0.9292631167829013
always_open,70,2025-11-22,0.15818903530472,1.0
always_open,70,2025-12-06,-0.18693631475656902,1.0
always_open,70,2025-12-13,0.00012964875112872476,0.37455707488996004
always_open,70,2026-01-24,-0.07654540188889947,0.6963462012699828
always_open,70,2026-01-31,0.32185875792927493,0.8426954620095992
always_open,70,2026-02-07,-0.3193334879955617,0.9999999999999999
always_open,70,2026-02-21,0.05775564014696061,1.0
always_open,80,2024-11-23,0.0,0.0
always_open,80,2024-12-07,-0.02919828527448387,1.0000000000000002
always_open,80,2024-12-14,-0.24883468996172012,0.7294041737159179
always_open,80,2025-01-11,-0.023018118775296692,0.3572542105022687
always_open,80,2025-01-18,0.2709501515704793,0.6479751533923139
always_open,80,2025-02-01,0.46813313574593096,1.0
always_open,80,2025-02-08,0.3599570357481893,0.5576329669396113
always_open,80,2025-02-15,-0.24716046931637792,1.0
always_open,80,2025-02-22,0.22563141352603577,0.4849760094546747
always_open,80,2025-03-01,0.26653336919127385,0.4761869658206204
always_open,80,2025-03-08,-0.1017837335677922,0.4620412748222821
always_open,80,2025-03-15,0.05305027835530381,0.9317747490132609
always_open,80,2025-03-22,-0.06794500561639255,0.40867094561443296
always_open,80,2025-03-29,0.37380642278806603,0.9999999999999998
always_open,80,2025-04-05,0.09546806976463486,0.32642427603105106
always_open,80,2025-04-12,-0.2831320659017934,0.9664998017224569
always_open,80,2025-04-26,0.26979995364941517,0.6577967841154009
always_open,80,2025-05-03,0.46981036163305334,0.8498712492800311
always_open,80,2025-05-10,0.38385062352660193,0.9378223593340629
always_open,80,2025-05-17,0.28098794511128417,0.6012921473117454
always_open,80,2025-05-31,-0.10400278222552772,0.5011442638966135
always_open,80,2025-06-07,0.01164795065526858,0.8234658438554874
always_open,80,2025-06-14,0.1380307807439604,0.9020947304429037
always_open,80,2025-06-21,-0.38541622592441316,0.575879171145067
always_open,80,2025-06-28,0.2500884375136596,1.0
always_open,80,2025-07-12,0.15499851560456768,0.9573689021449627
always_open,80,2025-07-19,-0.09501298765638487,0.09501298765638487
always_open,80,2025-07-26,0.13089220237379812,0.785154259072431
always_open,80,2025-08-02,0.478402978961402,0.9915806502965495
always_open,80,2025-08-09,0.09262682234549653,0.8425134068763956
always_open,80,2025-08-16,-0.1841898274226987,0.6356436918544615
always_open,80,2025-08-23,0.042766005297880216,0.682411033936327
always_open,80,2025-09-06,-0.052296107149169255,0.5337521000919981
always_open,80,2025-09-13,0.24943705083000933,0.9460329517458212
always_open,80,2025-09-27,0.11438177855869475,0.9693428844111913
always_open,80,2025-10-04,0.24864878623062495,1.0
always_open,80,2025-10-11,-0.029225863220031484,1.0
always_open,80,2025-10-18,-0.3542417751319278,0.6618501273689266
always_open,80,2025-10-25,-0.192731473572183,0.9999999999999999
always_open,80,2025-11-01,0.2664290333937786,0.9665186750346115
always_open,80,2025-11-08,0.022372786268415934,1.0
always_open,80,2025-11-15,0.35387525686100363,0.9173382900413973
always_open,80,2025-11-22,0.1214185793803364,1.0
always_open,80,2025-12-06,-0.2312375200672046,0.9999999999999999
always_open,80,2025-12-13,-0.016071087416893642,0.38936482523787064
always_open,80,2026-01-24,-0.09457893557344771,0.6815009399163646
always_open,80,2026-01-31,0.3150036246172769,0.827981276264776
always_open,80,2026-02-07,-0.3211164023205014,1.0
always_open,80,2026-02-21,0.03747817859186858,1.0
always_open,90,2024-11-23,0.0,0.0
always_open,90,2024-12-07,-0.06867850285719129,1.0
always_open,90,2024-12-14,-0.269024363661765,0.7159777177825313
always_open,90,2025-01-11,-0.027120849780659206,0.35529380536084
always_open,90,2025-01-18,0.2562663394572393,0.635948800486363
always_open,90,2025-02-01,0.47194675233654115,1.0
always_open,90,2025-02-08,0.34894329838874927,0.5634578504846954
always_open,90,2025-02-15,-0.2556293355402106,1.0
always_open,90,2025-02-22,0.21625333245742143,0.48937910152614
always_open,90,2025-03-01,0.25769284844798634,0.48143983812573915
always_open,90,2025-03-08,-0.10851058287866398,0.4549886626797819
always_open,90,2025-03-15,0.05167892246457355,0.9268587608812728
always_open,90,2025-03-22,-0.07124209812310289,0.407093459869718
always_open,90,2025-03-29,0.36732017057119,1.0
always_open,90,2025-04-05,0.09393982207868737,0.3272273222819997
always_open,90,2025-04-12,-0.3105509089877325,0.9535008612753515
always_open,90,2025-04-26,0.19186982025973365,0.5312027485404569
always_open,90,2025-05-03,0.46493089637421803,0.8451737684357233
always_open,90,2025-05-10,0.38118594297622443,0.9359413956492068
always_open,90,2025-05-17,0.2723986450783634,0.6014450826192425
always_open,90,2025-05-31,-0.010375861200593771,0.39595540465888057
always_open,90,2025-06-07,0.0033146278499694426,0.7963757180481534
always_open,90,2025-06-14,0.22618088010510742,0.7944618746277389
always_open,90,2025-06-21,-0.3894604114652729,0.5732533722572777
always_open,90,2025-06-28,0.2381856786591185,1.0
always_open,90,2025-07-12,0.14863976198355136,0.9355194635817355
