date,fighter_red,fighter_blue,winner
2025-06-14,jamey lyn horth,vanessa demopoulos,1.0
2025-06-14,kamaru usman,joaquin buckley,1.0
2025-06-14,malcolm wellmaker,kris moutinho,1.0
2025-06-14,michael chiesa,court mcgee,1.0
2025-06-14,phil rowe,ange loosa,1.0
2025-06-14,ricky simon,cameron smotherman,1.0
2025-06-14,rose namajunas,miranda maverick,1.0
2025-06-21,daria zhelezniakova,melissa mullins,1.0
2025-06-21,hamdy abdelwahab,mohammed usman,0.0
2025-06-21,irina alekseeva,klaudia sygula,0.0
2025-06-21,ismail naurdiev,junyong park,0.0
2025-06-21,muhammad naimov,bogdan grad,1.0
2025-06-21,nazim sadykhov,nikolas motta,1.0
2025-06-21,rafael fiziev,ignacio bahamondes,1.0
2025-06-21,tagir ulanbekov,azat maksum,1.0
2025-06-28,alexandre pantoja,kai kara france,1.0
2025-06-28,beneil dariush,renato moicano,1.0
2025-06-28,brandon royval,joshua van,0.0
2025-06-28,hyder amil,jose delgado,0.0
2025-06-28,ilia topuria,charles oliveira,1.0
2025-06-28,jack hermansson,gregory rodrigues,0.0
2025-06-28,niko price,jacobe smith,0.0
2025-06-28,payton talbott,felipe lima,1.0
2025-06-28,terrance mckinney,viacheslav borshchev,1.0
2025-06-28,viviane araujo,tracy cortez,0.0
2025-07-12,calvin kattar,steve garcia,0.0
2025-07-12,derrick lewis,tallison teixeira,1.0
2025-07-12,fatima kline,melissa martinez,1.0
2025-07-12,jake matthews,chidi njokuani,1.0
2025-07-12,kennedy nzechukwu,valter walker,0.0
2025-07-12,lauren murphy,eduarda moura,0.0
2025-07-12,max griffin,chris curtis,0.0
2025-07-12,mitch ramirez,mike davis,0.0
2025-07-12,nate landwehr,morgan charriere,0.0
2025-07-12,stephen thompson,gabriel bonfim,0.0
2025-07-12,vitor petrino,austen lane,1.0
2025-07-19,marvin vettori,brendan allen,0.0
2025-07-19,max holloway,dustin poirier,1.0
2025-07-26,amanda ribas,tabatha ricci,0.0
2025-07-26,asu almabayev,jose ochoa,1.0
2025-07-26,bryce mitchell,said nurmagomedov,1.0
2025-07-26,davey grant,damon blackshear,1.0
2025-07-26,ibo aslan,billy elekana,0.0
2025-07-26,mohammad yahya,steven nguyen,0.0
2025-07-26,muslim salikhov,carlos leal,1.0
2025-07-26,nikita krylov,bogdan guskov,0.0
2025-07-26,petr yan,marcus mcghee,1.0
2025-07-26,robert whittaker,reinier de ridder,0.0
2025-08-02,danny silva,kevin vallejos,0.0
2025-08-02,elves brener,esteban ribovics,0.0
2025-08-02,karol rosa,nora cornolle,1.0
2025-08-02,mateusz rebecki,chris duncan,0.0
2025-08-02,neil magny,elizeu zaleski dos santos,1.0
2025-08-02,nick klein,andrey pulyaev,0.0
2025-08-02,piera rodriguez,ketlen souza,1.0
2025-08-02,rafael estevam,felipe bunes,1.0
2025-08-02,rinya nakamura,nathan fletcher,1.0
2025-08-02,rodolfo vieira,tresean gore,1.0
2025-08-02,tatsuro taira,hyunsung park,1.0
2025-08-09,andre fili,christian rodriguez,1.0
2025-08-09,cody brundage,eric mcconico,0.0
2025-08-09,elijah smith,toshiomi kazama,1.0
2025-08-09,eryk anders,christian leroy duncan,0.0
2025-08-09,gabriella fernandes,julija stoliarenko,1.0
2025-08-09,iasmin lucindo,angela hill,1.0
2025-08-09,joselyne edwards,priscila cachoeira,1.0
2025-08-09,julius walker,rafael cerqueira,1.0
2025-08-09,miles johns,jean matsumoto,0.0
2025-08-09,steve erceg,ode osbourne,1.0
