event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
41,2025-04-26,70,13828.119471637578,19858.591089637208,26317.841077116704,27842.0073535559,20111.709312806146,0.0
42,2025-05-03,70,20204.83301509107,28977.01131075165,38466.781993097145,40638.941811789664,29369.151828642993,0.0
43,2025-05-10,70,24613.806448342784,35288.98394999401,46790.927379592395,49577.877558275024,35751.68865032934,0.0
44,2025-05-17,70,29803.068017336256,42789.8371068239,56822.52947470579,60201.68258585756,43382.91779690615,0.0
45,2025-05-31,70,28211.437669128773,40514.418373617875,54002.29358668625,57154.780741096554,41121.23005109348,0.0
46,2025-06-07,70,29148.582898330696,41844.154945707676,55578.58146589867,58970.58195631777,42463.575004952705,0.0
47,2025-06-14,70,33306.172993418484,48260.74897047009,64806.07800465044,68882.86183827645,48964.19926460663,0.0
48,2025-06-21,70,21654.57917855809,41995.53389551797,61319.77942320666,65607.4823915518,41947.343459652126,0.0
49,2025-06-28,70,26509.712211713217,51373.54220595451,75126.2626911982,80387.6178157074,51306.996778645036,0.0
50,2025-07-12,70,29887.892820621793,57941.6119314822,84661.75019704706,90688.46568597475,57940.1632607227,0.0
51,2025-07-19,70,28748.117439871316,55636.01958230328,81233.8058919511,87183.43640279582,55635.093211198495,0.0
52,2025-07-26,70,27589.36006215883,53975.419697876554,80826.8589361532,85782.4814250269,54105.38541124798,0.0
53,2025-08-02,70,38085.52479507129,74641.45265045692,112056.90263862445,119079.1971299698,74930.13991694122,0.0
54,2025-08-09,70,42461.62425165786,83627.73290183637,125423.41409918967,133306.762662504,84015.38316921564,0.0
55,2025-08-16,70,37058.25201543962,72741.41907534718,109103.85160910845,116054.9163970119,72997.82170439915,0.0
56,2025-08-23,70,37878.785125516675,74540.86048422447,111931.38578204006,118943.29067256497,74922.49026590589,0.0
57,2025-09-06,70,37179.635036437154,72845.66818637677,109641.87663201768,116590.05108670768,73289.16688238703,0.0
58,2025-09-13,70,43563.885467572436,85302.54961120686,128501.15388848558,136460.35923912615,85926.44428199902,0.0
59,2025-09-27,70,49114.7167932845,97617.21507286886,146974.52085666082,157208.97514839156,98294.0542192322,0.0
60,2025-10-04,70,58136.11155312037,114715.2241615684,172968.67757404989,185197.37129807207,115905.7921934813,0.0
61,2025-10-11,70,60476.09142648363,120258.4941013777,181741.48048877495,193165.48188092385,121167.94303236398,0.0
62,2025-10-18,70,54631.25725400356,108101.18740021795,164212.65359563075,176034.93326457834,109593.18444059744,0.0
63,2025-10-25,70,48543.161379524194,95710.78808170141,146366.13920951277,155154.4432042768,97035.40988370529,0.0
64,2025-11-01,70,59026.18453603587,116735.68538850642,179471.8787288701,189518.96393224355,118333.83611000745,0.0
65,2025-11-08,70,60476.61197344543,119395.67642802198,183233.03611815264,195765.4272013791,121116.47713999242,0.0
66,2025-11-15,70,74254.30543428012,147762.20267514384,227632.58625693162,242609.38982562063,150143.67319685803,0.0
67,2025-11-22,70,86135.79434443741,170885.70236953904,262727.39135075675,281465.00640882994,173759.68116687296,0.0
68,2025-12-06,70,73667.61775812086,147297.53580730653,227878.74137509934,245585.04139829148,149815.59290566941,0.0
69,2025-12-13,70,75597.17693891737,152063.0047464678,236427.66188591847,251820.37882790223,154379.5855620213,0.0
70,2026-01-24,70,75752.16688950195,152658.31747204647,237714.43980475294,253567.02403034052,155000.52070380625,0.0
71,2026-01-31,70,88617.6979298058,177444.21673779655,276667.55040065525,296303.15022264636,180336.3559266062,0.0
72,2026-02-07,70,72551.43235379721,145382.7950902209,226520.988710215,243257.58721175115,147811.30696297207,0.0
73,2026-02-21,70,78552.67463883662,158923.22350365517,248007.74859469957,267029.11969727,162157.80985186857,0.0
0,start,80,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,80,517.1600734483055,521.5273684006149,524.1833200041903,524.7778695757787,521.2787945213028,0.0
2,2024-05-18,80,441.2914911329063,472.8807562868154,494.08380341563947,499.7186109266954,472.9592274888897,0.0
3,2024-06-01,80,582.2314977302414,624.039608615748,653.4551409888393,660.4852894862885,624.1270117114935,0.0
4,2024-06-08,80,688.6636496558374,739.8257278811661,779.0066246673457,787.2257584994575,739.7787452559286,0.0
