date,bin_low_pct,bin_high_pct,units,n_scenarios,sample_min,p05,median,p95,sample_max
2024-06-29,60,65,percent_of_opening_ev,243,39.07970214977561,48.959324033536134,57.97354880117654,61.756725828037325,63.31451224897247
2024-06-29,65,70,percent_of_opening_ev,252,39.888395534428135,50.370444106360296,58.727931184542506,61.700032585738136,63.39187364270025
2024-06-29,70,75,percent_of_opening_ev,261,46.46339172239534,52.21164626492368,59.114326569136374,61.339654006431154,63.25613170440581
2024-06-29,75,80,percent_of_opening_ev,248,46.13808405290388,55.33274576624645,59.67105936353846,61.702579414120976,63.574796807801754
2024-06-29,80,85,percent_of_opening_ev,248,43.77357845104716,55.114155356585435,59.96242814186239,61.709442487305175,63.56681158230787
2024-06-29,85,90,percent_of_opening_ev,261,45.82796497709007,57.15967241778202,60.27258752717163,61.656665308081365,63.49664579034489
2024-06-29,90,95,percent_of_opening_ev,259,55.55464294304718,59.29766091552782,60.547197175263555,61.40991310994245,63.708284148674
2024-06-29,95,100,percent_of_opening_ev,240,58.08603108194621,60.02646267816673,60.75714998826409,60.8323908346344,62.04963043403411
2024-07-13,0,5,percent_of_opening_ev,215,21.950704786919424,21.950704786919424,22.0468330465657,22.67265954356725,23.818107832285175
2024-07-13,5,10,percent_of_opening_ev,269,21.703873464912213,21.950704786919424,22.477828374161405,23.341510133971454,26.686720251821658
2024-07-13,10,15,percent_of_opening_ev,235,20.335863962859353,21.984476312153138,22.895341167258827,24.366535427463912,27.196667390434545
2024-07-13,15,20,percent_of_opening_ev,275,20.84742580687942,22.207457272124085,23.35991764473638,24.632831122214164,26.678402921771816
2024-07-13,20,25,percent_of_opening_ev,246,21.186144554580537,22.265960481229058,23.701807735180957,25.65261448700661,27.133096328378954
2024-07-13,25,30,percent_of_opening_ev,246,20.622124549219475,22.35790212162501,24.053475038205484,25.856787803616783,27.552148284367405
2024-07-13,30,35,percent_of_opening_ev,263,21.077313838262334,22.420707929208895,24.387024564519585,26.060236247646316,28.118986583469557
2024-07-13,35,40,percent_of_opening_ev,259,21.349648158742408,22.687022460607082,24.70542861117465,26.91566779184024,28.4518354029618
2024-07-13,40,45,percent_of_opening_ev,230,20.218793879710454,22.198603328857732,24.961143616625968,27.560023862304952,28.688678189541417
2024-07-13,45,50,percent_of_opening_ev,263,20.856312978168315,22.932219570756722,25.350392249021887,27.691879713860622,28.619997628115833
2024-07-13,50,55,percent_of_opening_ev,248,21.37641009580597,22.99007820165617,25.504508025060183,27.24613901023855,28.716715838800045
2024-07-13,55,60,percent_of_opening_ev,240,20.65700366430804,22.234163826077168,25.632631807694175,27.530096508237772,28.628060684167178
2024-07-13,60,65,percent_of_opening_ev,287,20.46956400660313,23.22429954716296,25.832884791887032,27.542252217777307,28.80948994101072
2024-07-13,65,70,percent_of_opening_ev,247,20.218793879710454,23.109115080385344,25.99506822242887,27.93538348860397,28.79797324149426
2024-07-13,70,75,percent_of_opening_ev,227,21.548885919066546,23.67914558104487,26.120744461909105,27.671080435319826,28.8165953123237
2024-07-13,75,80,percent_of_opening_ev,246,21.280500343198756,23.780996957619358,26.216881444107376,27.731963274556424,28.716715838800045
2024-07-13,80,85,percent_of_opening_ev,273,22.004758969728602,24.667391935819655,26.384689966396547,27.805720385943154,28.815402071460277
2024-07-13,85,90,percent_of_opening_ev,235,21.592171998300252,24.478437808924273,26.468872251443937,27.70352890888271,28.817781411220388
2024-07-13,90,95,percent_of_opening_ev,251,22.126439544627846,25.388522274291567,26.47388026639163,27.91126192195501,28.819341862219336
2024-07-13,95,100,percent_of_opening_ev,245,24.317339332101067,25.969571046803008,26.47388026639163,27.164968693570003,27.70352890888271
2024-07-20,0,5,percent_of_opening_ev,218,37.232286469970006,37.232286469970006,37.75810979786885,38.70988271673384,39.59614376094427
2024-07-20,5,10,percent_of_opening_ev,247,37.232286469970006,37.65947931080941,39.20337606261617,40.349230116557074,41.35711095978111
2024-07-20,10,15,percent_of_opening_ev,265,37.232286469970006,38.24043407347811,40.44780907781048,41.982630882585035,43.705993096315055
2024-07-20,15,20,percent_of_opening_ev,243,36.94117528710324,39.03287549091723,42.011738056706626,43.87662381206715,45.02223993373535
2024-07-20,20,25,percent_of_opening_ev,274,37.77013367669842,39.759705628464175,43.181671572277175,45.189467602351165,49.24761469415558
2024-07-20,25,30,percent_of_opening_ev,243,36.189038923546526,41.00538742719733,44.566843094430844,46.41834953584053,48.3281514351456
2024-07-20,30,35,percent_of_opening_ev,247,36.758182150309956,42.052717602018106,45.80081606848499,48.00200972637423,49.70804884684921
2024-07-20,35,40,percent_of_opening_ev,272,36.13785731629279,42.25024303361862,46.82008649849358,48.9929879255501,53.47941390712264
2024-07-20,40,45,percent_of_opening_ev,244,38.2297570304771,43.18426397341291,47.7893422012927,49.96194277396896,52.27017423204964
2024-07-20,45,50,percent_of_opening_ev,255,38.5347400140367,45.00111089704869,48.67014699827705,51.4961175960685,55.54090671164582
2024-07-20,50,55,percent_of_opening_ev,254,40.637533212363046,44.283759846299155,49.435805722336085,52.09822552726908,55.75224136005467
2024-07-20,55,60,percent_of_opening_ev,248,41.52582188828221,45.436821008530636,50.22652266504872,53.046926031206475,56.122146595106734
2024-07-20,60,65,percent_of_opening_ev,248,42.13514488164395,45.82243579315029,50.625514192155116,53.444818810904025,57.990962511614235
2024-07-20,65,70,percent_of_opening_ev,251,43.393746186227645,47.093045203026996,51.12309534991241,54.38062081928439,57.066532032538966
2024-07-20,70,75,percent_of_opening_ev,243,41.125650049483205,47.824503280926415,51.742660279211734,54.95629450500195,57.4982863443065
2024-07-20,75,80,percent_of_opening_ev,243,44.33195876868534,47.33421914311025,51.98546965959853,54.93839369533448,57.84010877473701
2024-07-20,80,85,percent_of_opening_ev,240,43.91903778653491,48.84698637758028,52.35337351273964,55.81281845659329,57.698195890390615
2024-07-20,85,90,percent_of_opening_ev,267,46.495857417482476,49.24863239842822,52.661130602122064,55.98569270379576,57.470378732939885
2024-07-20,90,95,percent_of_opening_ev,239,48.743469152437775,50.63621916994499,52.710681946168265,55.29915942909785,58.101626841639714
2024-07-20,95,100,percent_of_opening_ev,259,50.341176263519564,51.75919944070756,52.80978070117642,53.76883559067677,55.50850334339291
2024-07-27,0,5,percent_of_opening_ev,276,16.926575572219434,16.926575572219434,17.651203978329026,25.042083630834355,35.52193750684833
2024-07-27,5,10,percent_of_opening_ev,257,16.926575572219434,17.060856266749283,21.554021532994312,32.0916768435561,42.07592162340644
2024-07-27,10,15,percent_of_opening_ev,221,16.947737000698698,17.374087449039198,25.29749144673209,38.26082751394147,48.834717853395375
2024-07-27,15,20,percent_of_opening_ev,264,17.103770302387275,18.846675137551752,29.279954783405806,39.70428068543405,45.05405986693362
2024-07-27,20,25,percent_of_opening_ev,254,16.926575572219434,19.418916130147174,32.70634048730514,41.91493201111528,50.23084256280542
2024-07-27,25,30,percent_of_opening_ev,236,17.3684439225095,22.542219306026787,36.219258516693955,44.70338536233869,52.46746761970058
2024-07-27,30,35,percent_of_opening_ev,225,17.16980183581748,24.797537945057414,39.05717285270186,47.02278737817783,52.80233477770631
2024-07-27,35,40,percent_of_opening_ev,235,17.660835323047273,26.338942915710103,41.26391386907716,48.38591291543481,52.05570388288033
2024-07-27,40,45,percent_of_opening_ev,277,21.386483367834384,29.514780869671373,43.03856211662894,49.03621604846925,53.79559821121295
2024-07-27,45,50,percent_of_opening_ev,259,21.728613920833574,29.75675797131865,44.97089048415043,49.95771831175571,54.20271868358484
2024-07-27,50,55,percent_of_opening_ev,237,21.8574614650048,36.024696944305745,47.09124280219356,51.639957963508195,55.00990015659774
2024-07-27,55,60,percent_of_opening_ev,254,24.23364118836568,37.41136877548119,48.61054251133717,52.51040382580888,55.380004344707665
2024-07-27,60,65,percent_of_opening_ev,269,25.916784285804635,41.19007605891324,50.102999223417186,53.00408250379553,55.259509864726816
2024-07-27,65,70,percent_of_opening_ev,252,38.06960021372959,46.59768899779182,51.40905418010338,54.28281929624786,55.51555107527829
2024-07-27,70,75,percent_of_opening_ev,230,30.500865592253295,47.64396838685652,52.50517759612026,54.62190071264581,56.085860234012706
2024-07-27,75,80,percent_of_opening_ev,253,37.49176593972545,50.05132691394809,53.74609566725116,55.62057249061055,56.81538449342118
2024-07-27,80,85,percent_of_opening_ev,236,43.85524194642072,50.044714065318004,54.108304038819654,56.10842493353321,57.33436807116985
2024-07-27,85,90,percent_of_opening_ev,223,47.28776323942817,51.11309065853522,54.69375819928057,56.53019980560882,57.72034088649984
2024-07-27,90,95,percent_of_opening_ev,262,49.17029608129668,52.55959585581702,54.83674976970384,56.69887821436354,57.57854057880826
2024-07-27,95,100,percent_of_opening_ev,280,51.408939920924986,53.74950101651805,54.92746869074443,56.46177356770533,57.66160296504393
2024-08-03,0,5,percent_of_opening_ev,249,22.556875334514714,22.861973805091395,23.197536328014444,24.497875509632433,25.523895006198657
2024-08-03,5,10,percent_of_opening_ev,268,22.306083161421586,22.99478248960159,24.56180527434114,26.707410585990917,30.654223193084555
2024-08-03,10,15,percent_of_opening_ev,250,22.861973805091395,23.766191685406383,25.768996080365934,28.10448532689575,31.603682465942263
2024-08-03,15,20,percent_of_opening_ev,258,22.8776842625179,23.954599332412855,27.13190562518927,31.023242169679985,35.29693513811687
2024-08-03,20,25,percent_of_opening_ev,265,23.475059208595617,25.30892200248857,28.592679057840265,32.30816354987131,35.55409200419412
2024-08-03,25,30,percent_of_opening_ev,239,23.319031831143764,25.806345866592583,29.770588551722607,33.1727802982831,40.76146451081935
2024-08-03,30,35,percent_of_opening_ev,217,23.86086126706939,26.678455542617506,30.984570508496347,35.5399001861784,43.66685200986529
2024-08-03,35,40,percent_of_opening_ev,221,25.223989159386054,27.639675056835543,32.10063264112287,36.01682257050862,44.59445712976691
2024-08-03,40,45,percent_of_opening_ev,245,26.573816213294084,29.310235883233837,33.65241243925158,39.013049196794135,43.6129018715771
2024-08-03,45,50,percent_of_opening_ev,240,26.216714325834456,31.27167815812349,34.87359576556479,39.41957532128544,43.061215242238276
2024-08-03,50,55,percent_of_opening_ev,258,27.15514681217773,31.634884468708584,36.19921825928432,40.35769739823326,46.71329405122934
2024-08-03,55,60,percent_of_opening_ev,261,27.315444457699343,33.831031092895735,37.573757986817135,41.16089590777777,47.11123925170198
2024-08-03,60,65,percent_of_opening_ev,264,28.345772380359133,34.487114354823696,38.696877105539784,43.30653477832923,46.23648550290224
2024-08-03,65,70,percent_of_opening_ev,246,28.867901490490006,34.60901998313979,40.07119479568156,43.88572416177077,47.104365211480854
2024-08-03,70,75,percent_of_opening_ev,265,32.820271180459315,37.70075724204649,41.254300755665824,44.49778220939444,48.46960013957949
2024-08-03,75,80,percent_of_opening_ev,277,34.638054673535834,39.20819481445863,42.58626493035787,45.81046821494036,47.973605344514
2024-08-03,80,85,percent_of_opening_ev,247,37.00082230779343,40.31319113493196,44.072831218000736,47.114916850557634,48.59159245837486
