date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-09-14,sean omalley,merab dvalishvili,0,0.0,-125.0,-120.0,0,0.0,164.0,-198.0,merab dvalishvili,-120.0,-198.0,-198.0,1.8333333333333335,1.5050505050505052,1.5050505050505052,True,True,close1,-150,,
2024-09-14,yazmin jauregui,ketlen souza,1,0.0,-549.0,360.0,1,0.0,-400.0,275.0,yazmin jauregui,-549.0,-400.0,-400.0,1.1821493624772312,1.25,1.25,False,False,close1,-550,,
2024-09-28,daniel barez,victor altamirano,0,1.0,100.0,-132.0,1,1.0,-138.0,105.0,victor altamirano,-132.0,105.0,-138.0,1.7575757575757576,2.05,1.7246376811594204,False,True,close1,-150,,
2024-09-28,fares ziam,matt frevola,1,1.0,-132.0,100.0,1,1.0,105.0,-138.0,fares ziam,-132.0,105.0,105.0,1.7575757575757576,2.05,2.05,True,True,close1,-150,,
2024-09-28,kevin jousset,bryan battle,0,0.0,140.0,-195.0,0,0.0,110.0,-150.0,bryan battle,-195.0,-150.0,-150.0,1.5128205128205128,1.6666666666666665,1.6666666666666665,True,True,close1,-200,,
2024-09-28,ludovit klein,roosevelt roberts,1,1.0,-1100.0,600.0,1,1.0,-649.0,400.0,ludovit klein,-1100.0,-649.0,-649.0,1.0909090909090908,1.1540832049306626,1.1540832049306626,True,True,close1,-1100,,
2024-09-28,morgan charriere,gabriel miranda,1,1.0,-670.0,390.0,1,1.0,-549.0,350.0,morgan charriere,-670.0,-549.0,-549.0,1.1492537313432836,1.1821493624772312,1.1821493624772312,True,True,close1,-700,,
2024-09-28,nassourdine imavov,brendan allen,1,1.0,-225.0,165.0,1,1.0,-188.0,140.0,nassourdine imavov,-225.0,-188.0,-188.0,1.4444444444444444,1.5319148936170213,1.5319148936170213,True,True,close1,-250,,
2024-09-28,nora cornolle,jacqueline cavalcanti,0,0.0,170.0,-225.0,0,0.0,163.0,-225.0,jacqueline cavalcanti,-225.0,-225.0,-225.0,1.4444444444444444,1.4444444444444444,1.4444444444444444,True,True,close1,-250,,
2024-09-28,renato moicano,benoit st denis,0,1.0,210.0,-300.0,0,1.0,200.0,-250.0,benoit st denis,-300.0,-250.0,-250.0,1.3333333333333333,1.4,1.4,False,False,close1,-300,,
2024-09-28,taylor lapilus,vince morales,1,1.0,-400.0,270.0,1,1.0,-345.0,265.0,taylor lapilus,-400.0,-345.0,-345.0,1.25,1.289855072463768,1.289855072463768,True,True,close1,-400,,
2024-09-28,william gomis,joanderson brito,0,1.0,240.0,-350.0,0,1.0,200.0,-275.0,joanderson brito,-350.0,-275.0,-275.0,1.2857142857142856,1.3636363636363638,1.3636363636363638,False,False,close1,-350,,
2024-10-05,alex pereira,khalil rountree jr,1,1.0,-500.0,330.0,1,1.0,-535.0,400.0,alex pereira,-500.0,-535.0,-535.0,1.2,1.1869158878504673,1.1869158878504673,True,True,close1,-500,,
